rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:7tI8dRuH2Yc6RuoTjxo4dU","Jimin","Who","BIGHIT MUSIC",1,1,376,"145368"
2,"spotify:track:1CPZ5BxNNd0n0nF4Orb9JS","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","Golden","K-Pop Demon Hunters",1,2,38,"119517"
3,"spotify:track:5H1sKFMzDeMtXwND3V6hRY","BLACKPINK","JUMP","YG Entertainment",2,3,18,"73207"
4,"spotify:track:02sy7FAs8dkDNYsHp4Ul3f","Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast","Soda Pop","K-Pop Demon Hunters",3,4,37,"70194"
5,"spotify:track:27xkOIER6uDLKALIelHylZ","Jin","Don’t Say You Love Me","BIGHIT MUSIC",1,6,75,"67434"
6,"spotify:track:40UVUuyy5RfpO0awclCttA","ALLDAY PROJECT","FAMOUS","THEBLACKLABEL",2,5,33,"66254"
7,"spotify:track:1I37Zz2g3hk9eWxaNkj031","Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast","Your Idol","K-Pop Demon Hunters",6,7,37,"55090"
8,"spotify:track:2NOMOpss7BmEXTL9f1koqn","ALLDAY PROJECT","WICKED","THEBLACKLABEL",4,12,37,"45170"
9,"spotify:track:02BcXEH1zJYbXSabPtNlKf","Don Toliver, Doja Cat, F1 The Album","Lose My Mind (feat. Doja Cat) [From F1® The Movie]","Atlantic Records",9,10,31,"45028"
10,"spotify:track:3RXUgPNIbUgFxsDWuBQEt6","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","How It’s Done","K-Pop Demon Hunters",7,9,37,"44673"
11,"spotify:track:45zLrK0668WQ5JFMyiYmCS","Jimin","Interlude : Showtime","BIGHIT MUSIC",6,11,376,"43441"
12,"spotify:track:7G7mSV4BebkoHWwKTDvXu9","V, Park Hyo Shin","Winter Ahead (with PARK HYO SHIN)","BIGHIT MUSIC",2,8,243,"43290"
13,"spotify:track:2HRgqmZQC0MC7GeNuDIXHN","Jung Kook, Latto","Seven (feat. Latto) (Explicit Ver.)","BIGHIT MUSIC",1,13,747,"40697"
14,"spotify:track:4p0uVFAXKUISu8yp9gNtWE","ILLIT","Billyeoon Goyangi (Do the Dance)","BELIFT LAB",4,14,44,"36238"
15,"spotify:track:1ic3Thr0mG0IsBE98pPcQ2","aespa","Dirty Work","SM Entertainment",4,15,33,"32555"
16,"spotify:track:5EoV2HmAlkqN1XvsIjOBZZ","Hearts2Hearts","STYLE","SM Entertainment",8,16,42,"31028"
17,"spotify:track:5sBDrrtLGbV64QJnEqfjer","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","What It Sounds Like","K-Pop Demon Hunters",17,20,36,"29863"
18,"spotify:track:3LWVXp636uLT356Rj08Jaz","Jimin","Be Mine","BIGHIT MUSIC",2,17,376,"29281"
19,"spotify:track:5DxDLsW6PsLz5gkwC7Mk5S","Rumi, Jinu, KPop Demon Hunters Cast, EJAE, Andrew Choi","Free","K-Pop Demon Hunters",16,21,36,"28646"
20,"spotify:track:3Ua0m0YmEjrMi9XErKcNiR","Jimin","Like Crazy","BIGHIT MUSIC",1,19,858,"28355"
21,"spotify:track:0MHStU0muAIEMbwdnebYu2","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","Takedown","K-Pop Demon Hunters",15,18,36,"28193"
22,"spotify:track:5BZsQlgw21vDOAjoqkNgKb","Justin Bieber","DAISIES","JRC Entertainment, LLC / ILH Production Co. LLC / Def Jam Recordings",16,22,19,"26699"
23,"spotify:track:7Cnpb1vBbC46RgVyyKLH7p","aespa","Whiplash","SM Entertainment",3,23,282,"25376"
24,"spotify:track:4xeugB5MqWh0jwvXZPxahq","WOODZ","Drowning","EDAM Entertainment",7,24,301,"23234"
25,"spotify:track:68UrZQUuO3O6eUiD226xHg","Hearts2Hearts","The Chase","SM Entertainment",6,33,156,"22529"
26,"spotify:track:1agDCV4zQqaFwJQNsTgmL1","Jimin, Loco","Smeraldo Garden Marching Band (feat. Loco)","BIGHIT MUSIC",2,25,397,"21899"
27,"spotify:track:01qFKNWq73UfEslI0GvumE","Jung Kook, Jack Harlow","3D (feat. Jack Harlow)","BIGHIT MUSIC",2,28,670,"21778"
28,"spotify:track:6Wobsw9uZ0D0xkfOjxXSq9","ROSÉ, F1 The Album","Messy (From F1® The Movie)","Atlantic Records",16,27,65,"21679"
29,"spotify:track:7gMfVc4zfNIxuMyMGglOHa","Jimin","Rebirth (Intro)","BIGHIT MUSIC",4,26,376,"21474"
30,"spotify:track:6qafqn8bBMy7t5c5WqpyRk","Jimin","Closer Than This","BIGHIT MUSIC",2,29,586,"21186"
31,"spotify:track:2GMKQPMXdOGXsQkDYBN6wF","MAKTUB","시작의 아이 ハジマリのコ (Starting With You)","WM Korea",10,32,67,"20425"
32,"spotify:track:2KslE17cAJNHTsI2MI0jb2","Jung Kook","Standing Next to You","BIGHIT MUSIC",3,36,634,"20388"
33,"spotify:track:3d2bsbugow8JiNvuaRupFH","Jimin, Sofia Carson","Slow Dance (feat. Sofia Carson)","BIGHIT MUSIC",5,30,376,"19808"
34,"spotify:track:50zAEIE4B1QqhPjRMK2Xmh","Jin","Running Wild","BIGHIT MUSIC",2,31,257,"19527"
35,"spotify:track:7kjVCymE7vn0HizmGCGFWQ","Lim Young Woong","Heavenly Ever After","Mulgogi Music / ADA",9,35,107,"19380"
36,"spotify:track:4H6s1mTZcjHAMU36ZF3Xoz","Jin","Nothing Without Your Love","BIGHIT MUSIC",9,34,75,"19270"
37,"spotify:track:7JQH2lBMZ10ztDnpoeq6Ki","데이먼스 이어 Damons year","yours","WM Korea",6,38,1006,"18752"
38,"spotify:track:7t4Z19BqZ23ExgdiOP0nf6","fromis_9","LIKE YOU BETTER","ASND ENTERTAINMENT CO., LTD",16,39,35,"18664"
39,"spotify:track:19GxfaRs5KdurzPKLVX3Cq","TWICE","TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)","JYP Entertainment",28,41,36,"17421"
40,"spotify:track:2JhbSmNAyM9kYiqwa8Tpla","aespa","Supernova","SM Entertainment",1,43,443,"17152"
41,"spotify:track:2i47cFChkfqOd1zCfdsltH","NOWZ","Problem Child","Cube Entertainment",15,37,12,"17123"
42,"spotify:track:0wrppxeWurW1uRnxI6Ut9v","MEOVV","HANDS UP","THEBLACKLABEL",3,42,93,"17040"
43,"spotify:track:24Y63uAvj6Oc9jGuTlhlgf","LE SSERAFIM","HOT","SOURCE MUSIC",2,48,138,"16953"
44,"spotify:track:2yWlGEgEfPot0lv3OAjuG3","Tate McRae, F1 The Album","Just Keep Watching (From F1® The Movie)","Atlantic Records",40,40,31,"16859"
45,"spotify:track:4WrkJNGb4zUwARc0FD3iNf","Jin, YENA","Loser (feat. YENA)","BIGHIT MUSIC",13,45,75,"16420"
46,"spotify:track:5566hAPt0WmMPr9Xn749L7","Jin","Rope It","BIGHIT MUSIC",17,55,75,"15665"
47,"spotify:track:3r8RuvgbX9s7ammBn07D3W","NewJeans","Ditto","ADOR",1,51,954,"15617"
48,"spotify:track:2NtidJuimmXzUsExfMYcvk","BOYNEXTDOOR","IF I SAY, I LOVE YOU","KOZ Entertainment",5,49,205,"15480"
49,"spotify:track:5doooVlMVRZztQbySqARMI","G-DRAGON, TAEYANG, DAESUNG","HOME SWEET HOME (feat. TAEYANG & DAESUNG)","Galaxy Corporation / EMPIRE",2,50,250,"15438"
50,"spotify:track:7so0lgd0zP2Sbgs2d7a1SZ","Lady Gaga, Bruno Mars","Die With A Smile","Interscope Records",5,67,348,"15276"
51,"spotify:track:4WUpMUjdoi47LY7gBQBXe3","Lim Young Woong","Grain of Sand","물고기뮤직",7,44,786,"15164"
52,"spotify:track:1z5ebC9238uGoBgzYyvGpQ","ROSÉ","toxic till the end","Atlantic Records, THEBLACKLABEL",2,54,237,"15132"
53,"spotify:track:1xOqGUkyxGQRdCvGpvWKmL","KATSEYE","Gabriela","HYBE/Geffen",23,84,40,"15037"
