rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:7tI8dRuH2Yc6RuoTjxo4dU","Jimin","Who","BIGHIT MUSIC",1,1,468,"102602"
2,"spotify:track:59hVbgr8rfYkDbHfr8RcGI","Kenshi Yonezu","IRIS OUT","Sony Music Labels Inc.",1,2,45,"93711"
3,"spotify:track:4oE7MyJhqSD3BaHRpNs8Nl","Kenshi Yonezu, Hikaru Utada","JANE DOE","Sony Music Labels Inc.",3,3,38,"68005"
4,"spotify:track:4i0HNuFEH6P6K4UnsY5uUh","NMIXX","Blue Valentine","JYP Entertainment",3,4,17,"64430"
5,"spotify:track:27xkOIER6uDLKALIelHylZ","Jin","Don’t Say You Love Me","BIGHIT MUSIC",1,6,167,"57027"
6,"spotify:track:2N9miXnewVmUrgl6JSK1FI","LE SSERAFIM, j-hope","SPAGHETTI","SOURCE MUSIC",5,5,6,"56485"
7,"spotify:track:6jYiHr12NVKLzn0X7K8aSK","Hearts2Hearts","FOCUS","SM Entertainment",6,7,10,"42686"
8,"spotify:track:3LWVXp636uLT356Rj08Jaz","Jimin","Be Mine","BIGHIT MUSIC",2,9,468,"38799"
9,"spotify:track:7G7mSV4BebkoHWwKTDvXu9","V, Park Hyo Shin","Winter Ahead (with PARK HYO SHIN)","BIGHIT MUSIC",2,13,335,"38555"
10,"spotify:track:2HRgqmZQC0MC7GeNuDIXHN","Jung Kook, Latto","Seven (feat. Latto) (Explicit Ver.)","BIGHIT MUSIC",1,8,839,"38365"
11,"spotify:track:1CPZ5BxNNd0n0nF4Orb9JS","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","Golden","K-Pop Demon Hunters",1,10,130,"37291"
12,"spotify:track:7JQH2lBMZ10ztDnpoeq6Ki","데이먼스 이어 Damons year","yours","WM Korea",6,11,1098,"34730"
13,"spotify:track:4BtOh0Xwh3DHelPQ14MPVC","BOYNEXTDOOR","Hollywood Action","KOZ Entertainment",9,12,10,"32194"
14,"spotify:track:7oYCBKvdjrqp5vDbhDBuac","Kenshi Yonezu","KICK BACK","Sony Music Labels Inc.",8,14,489,"29291"
15,"spotify:track:5H1sKFMzDeMtXwND3V6hRY","BLACKPINK","JUMP","YG Entertainment",2,15,110,"26537"
16,"spotify:track:4p0uVFAXKUISu8yp9gNtWE","ILLIT","Billyeoon Goyangi (Do the Dance)","BELIFT LAB",4,19,136,"26130"
17,"spotify:track:6OWWZtNQORY1McaZmOrwhc","CORTIS","GO!","Republic Records – CORTIS",6,18,52,"25600"
18,"spotify:track:3WvM2dIR9iIxMGNMP7WsNw","HANRORO","Landing in Love","authentic",16,16,107,"25164"
19,"spotify:track:0p5xMhVvw441Z10hNWsk5Q","MEOVV","BURNING UP","THEBLACKLABEL",13,17,16,"24003"
20,"spotify:track:40UVUuyy5RfpO0awclCttA","ALLDAY PROJECT","FAMOUS","THEBLACKLABEL",2,20,125,"23253"
21,"spotify:track:2aSfmbpproCPOe2j01WT2a","Lim Young Woong","Eternal Moment","Mulgogi Music",17,21,62,"22872"
22,"spotify:track:3Ua0m0YmEjrMi9XErKcNiR","Jimin","Like Crazy","BIGHIT MUSIC",1,22,950,"21887"
23,"spotify:track:651GMkAaR0JbpzZXRvdQ3D","Lim Young Woong","ULSSIGU","Mulgogi Music",23,24,62,"21086"
24,"spotify:track:7Cnpb1vBbC46RgVyyKLH7p","aespa","Whiplash","SM Entertainment",3,32,374,"21070"
25,"spotify:track:7kjVCymE7vn0HizmGCGFWQ","Lim Young Woong","Heavenly Ever After","Mulgogi Music / ADA",9,25,199,"20702"
26,"spotify:track:7gMfVc4zfNIxuMyMGglOHa","Jimin","Rebirth (Intro)","BIGHIT MUSIC",4,29,468,"20572"
27,"spotify:track:02sy7FAs8dkDNYsHp4Ul3f","Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast","Soda Pop","K-Pop Demon Hunters",3,26,129,"20256"
28,"spotify:track:1sUjTLLCJzcxC15GUBrOlg","aespa","Rich Man","SM Entertainment",3,33,55,"20245"
29,"spotify:track:1tonXoW6dcb7GGNpec3PTl","BABYMONSTER","WE GO UP","YG Entertainment",21,23,19,"20217"
30,"spotify:track:4xeugB5MqWh0jwvXZPxahq","WOODZ","Drowning","EDAM Entertainment",7,27,393,"20193"
31,"spotify:track:5EoV2HmAlkqN1XvsIjOBZZ","Hearts2Hearts","STYLE","SM Entertainment",8,28,134,"20108"
32,"spotify:track:6qafqn8bBMy7t5c5WqpyRk","Jimin","Closer Than This","BIGHIT MUSIC",2,30,678,"19980"
33,"spotify:track:1z5ebC9238uGoBgzYyvGpQ","ROSÉ","toxic till the end","Atlantic Records, THEBLACKLABEL",2,31,329,"19932"
34,"spotify:track:4CRhJHHbH9Awx7z7xRAdPP","Lim Young Woong","Unread Message","Mulgogi Music",27,37,62,"19401"
35,"spotify:track:2KslE17cAJNHTsI2MI0jb2","Jung Kook","Standing Next to You","BIGHIT MUSIC",3,36,726,"19092"
36,"spotify:track:1agDCV4zQqaFwJQNsTgmL1","Jimin, Loco","Smeraldo Garden Marching Band (feat. Loco)","BIGHIT MUSIC",2,35,489,"19061"
37,"spotify:track:1TPHGTbSlEiZh9MvQDpMcY","Lim Young Woong","Left in the Rain","Mulgogi Music",32,39,62,"18883"
38,"spotify:track:15HNdxGKNCIO9pgaY4n7FU","OFFICIAL HIGE DANDISM","Pretender","PONY CANYON INC.",31,34,493,"18784"
39,"spotify:track:0CWk3LG8MXMA3TE61y5zPB","Lim Young Woong","Wild flower","Mulgogi Music",34,41,61,"18614"
40,"spotify:track:4ecdsGz3Hg6TKPwQ0ZOdJz","CORTIS","FaSHioN","Republic Records – CORTIS",12,38,52,"18331"
41,"spotify:track:7hYI4QprQ3hMqp56ul6uEv","Lim Young Woong","Melody for You","Mulgogi Music",36,45,61,"18260"
42,"spotify:track:3r8RuvgbX9s7ammBn07D3W","NewJeans","Ditto","ADOR",1,52,1046,"18254"
43,"spotify:track:2penachGpHAHaMQGo1j1Tz","Lim Young Woong","Wonderful Life","Mulgogi Music",35,49,61,"18251"
44,"spotify:track:04TshWXkhV1qkqHzf31Hn6","Kenshi Yonezu","Lemon","Sony Music Labels Inc.",25,42,1094,"18227"
45,"spotify:track:2CfVDYfw0B4WUHaWxyjsU3","LE SSERAFIM","Pearlies (My oyster is the world)","SOURCE MUSIC",40,40,6,"17858"
46,"spotify:track:5qCu3KDSEoojJ4Rh5OzHm3","Lim Young Woong","I’m sorry, But…","Mulgogi Music",40,51,61,"17759"
47,"spotify:track:3d2bsbugow8JiNvuaRupFH","Jimin, Sofia Carson","Slow Dance (feat. Sofia Carson)","BIGHIT MUSIC",5,44,468,"17717"
48,"spotify:track:7wLJ4xzxNss5abZ1kXs242","Car, the garden","Closely Far Away","니즈뮤직",19,55,417,"17514"
49,"spotify:track:2TOpItg5NsMsFV58nZm5XN","Lim Young Woong","I’m HERO","Mulgogi Music",36,53,62,"17396"
50,"spotify:track:02BcXEH1zJYbXSabPtNlKf","Don Toliver, Doja Cat, F1 The Album","Lose My Mind (feat. Doja Cat) [From F1® The Movie]","Atlantic Records",5,50,123,"17242"
51,"spotify:track:1ic3Thr0mG0IsBE98pPcQ2","aespa","Dirty Work","SM Entertainment",4,54,125,"17054"
52,"spotify:track:4qdBPJta3BVPXCS0wJZ6yO","HANRORO","Let Me Love My Youth","authentic",45,56,110,"16889"
53,"spotify:track:1aKvZDoLGkNMxoRYgkckZG","ILLIT","Magnetic","BELIFT LAB",1,59,584,"16831"
54,"spotify:track:01qFKNWq73UfEslI0GvumE","Jung Kook, Jack Harlow","3D (feat. Jack Harlow)","BIGHIT MUSIC",2,46,762,"16691"
55,"spotify:track:53iuhJlwXhSER5J2IYYv1W","Taylor Swift","The Fate of Ophelia","Taylor Swift",8,47,27,"16686"
56,"spotify:track:3sOAwRg5esaxDcWnUigWPv","HANRORO","0+0","authentic",43,43,42,"16674"
57,"spotify:track:4pH8rClaLsi6QcDGrw2VgV","NMIXX","SPINNIN′ ON IT","JYP Entertainment",15,48,17,"16392"
58,"spotify:track:07ZkZzMHE6EEbHD50WUrgk","LE SSERAFIM","SPAGHETTI (Member ver.)","SOURCE MUSIC",57,57,6,"16197"
59,"spotify:track:1gSYptPgZodmxwSXqeCKSF","Lim Young Woong","A Song For Us","Mulgogi Music",50,62,61,"15598"
