music_id,artist_names,track_name,tempo,mean_mel,mean_rms,max_rms,mean_zcr,std_zcr,mean_centroid
46,NewJeans,How Sweet,123.05,-43.96,0.23819999396800995,0.5827999711036682,0.1595,0.1,3332.43
47,fromis_9,Supersonic,92.29,-41.05,0.2567000091075897,0.4984999895095825,0.1066,0.07,2661.36
48,QWER,My Name is Malguem,73.83,-40.12,0.25690001249313354,0.4595000147819519,0.1135,0.05,2635.6
49,Lim Young Woong,London Boy,89.1,-39.06,0.31679999828338623,0.5436000227928162,0.1131,0.06,2325.66
50,"HAON, GISELLE",Skrr (feat. GISELLE),117.45,-54.6,0.2232999950647354,0.7092999815940857,0.0725,0.08,2022.31
51,BIGBANG,Still Life,117.45,-42.22,0.2524999976158142,0.5454000234603882,0.0907,0.06,2190.71
52,ILLIT,Tick-Tack,129.2,-47.67,0.22010000050067902,0.5277000069618225,0.1171,0.09,2656.4
53,WOODZ,Drowning,112.35,-42.68,0.266400009393692,0.5978000164031982,0.1194,0.06,2530.81
54,aespa,Armageddon,92.29,-40.79,0.29820001125335693,0.5321000218391418,0.095,0.05,2220.12
55,NewJeans,Ditto,136.0,-43.62,0.22030000388622284,0.4609000086784363,0.0927,0.06,2619.19
56,BUMJIN,A Letter,73.83,-46.18,0.2020999938249588,0.48330000042915344,0.0692,0.07,1792.94
57,"V, Bing Crosby",White Christmas (with V of BTS),99.38,-48.91,0.19380000233650208,0.4715000092983246,0.0532,0.03,1376.92
58,d4vd,Here With Me,66.26,-46.82,0.14219999313354492,0.3264999985694885,0.057,0.03,1440.59
59,LE SSERAFIM,CRAZY,129.2,-43.16,0.3249000012874603,0.7002999782562256,0.1251,0.09,2944.73
60,DAY6,Welcome to the Show,129.2,-42.1,0.22779999673366547,0.49790000915527344,0.0927,0.05,2203.19
61,Lim Young Woong,Polaroid,103.36,-43.74,0.17219999432563782,0.31529998779296875,0.08,0.06,1995.49
62,ILLIT,Lucky Girl Syndrome,117.45,-42.49,0.24570000171661377,0.5103999972343445,0.1311,0.09,3117.39
63,Hwang Karam,I`m Firefly,143.55,-46.52,0.23420000076293945,0.522599995136261,0.0832,0.07,2115.62
64,Lim Young Woong,If We Ever Meet Again,129.2,-47.39,0.1996999979019165,0.48750001192092896,0.0641,0.07,1650.3
65,DAY6,예뻤어 You Were Beautiful,83.35,-39.83,0.27649998664855957,0.4830999970436096,0.1002,0.06,2256.98
66,BIGBANG,LAST DANCE,143.55,-44.32,0.2409999966621399,0.5602999925613403,0.0919,0.07,2030.7
67,BIGBANG,Fantastic Baby,129.2,-42.67,0.10679999738931656,0.21860000491142273,0.1123,0.09,2650.69
68,JAESSBEE,Every Moment With You,112.35,-46.1,0.15690000355243683,0.48010000586509705,0.1069,0.06,2332.53
69,JENNIE,Mantra,117.45,-44.14,0.29490000009536743,0.5368000268936157,0.084,0.08,2555.52
70,NewJeans,Hype Boy,99.38,-37.15,0.21850000321865082,0.4000000059604645,0.1579,0.07,3215.49
71,BIGBANG,Blue,123.05,-43.12,0.2240000069141388,0.41620001196861267,0.0786,0.07,2238.39
72,Jimin,Like Crazy (English Version),117.45,-40.36,0.28630000352859497,0.5361999869346619,0.1006,0.06,2682.61
