artist_names,track_name,genre,track_length_sec,release_country
BIGBANG,LET'S NOT FALL IN LOVE,K-Pop,211.927,USA
Tommy Richman,MILLION DOLLAR BABY,Hip-Hop/Rap,155.152,USA
BIGBANG,SOBER,K-Pop,237.513,USA
EXO,The First Snow,Holiday,207.74,USA
KISS OF LIFE,Sticky,K-Pop,157.12,USA
Nerd Connection,If I have you only (My love X Nerd Connection),Hip-Hop/Rap,118.72,USA
데이먼스 이어 Damons year,yours,Singer/Songwriter,165.229,USA
LE SSERAFIM,Perfect Night,K-Pop,159.08,USA
Lim Young Woong,A Psalm of Life,K-Pop,233.36,USA
BIGBANG,IF YOU,K-Pop,264.216,USA
DAY6,녹아내려요 Melt Down,K-Pop,165.587,USA
BIGBANG,FLOWER ROAD,K-Pop,228.632,USA
LE SSERAFIM,EASY,K-Pop,164.545,USA
The Black Skirts,EVERYTHING,Indie Rock,293.0,USA
Jin,Falling,J-Pop,178.832,USA
G-DRAGON,WHO YOU?,Hip-Hop/Rap,201.429,USA
Frank Ocean,Pink + White,Pop,184.516,USA
AKMU,"How can I love the heartbreak, you're the one I love",K-Pop,290.096,USA
Jin,I will come to you,K-Pop,156.964,USA
BIGBANG,LOSER,K-Pop,219.371,USA
wave to earth,love.,Alternative,307.75,USA
"Jung Kook, BTS, FIFA Sound",Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Worldwide,201.391,USA
wave to earth,seasons,Alternative,256.0,USA
Lim Young Woong,I Love You,K-Pop,239.027,USA
NewJeans,Attention,K-Pop,180.067,USA
BIGBANG,FXXK IT,K-Pop,233.547,USA
Gracie Abrams,That’s So True,Pop,166.3,USA
TAEYANG,"눈,코,입 (Eyes, Nose, Lips)",R&B/Soul,229.99,USA
KATSEYE,Touch,Pop,129.883,USA
Sabrina Carpenter,Nonsense,Pop,163.648,USA
Dhruv,double take,Pop,171.743,USA
Lim Young Woong,Father,K-Pop,238.107,USA
The NuTs,사랑의 바보,K-Pop,261.646,USA
WONPIL,행운을 빌어 줘 A journey,K-Pop,209.217,USA
Heo Hoy Kyung,So life goes on,Korean Folk-Pop,194.634,USA
V,Slow Dancing,K-Pop,187.027,USA
RIIZE,Memories,K-Pop,178.013,USA
BTS,Dynamite,K-Pop,199.054,USA
tuki.,晩餐歌 - Bansanka,J-Pop,215.853,USA
Brown Eyes,벌써 일년,K-Pop,207.827,USA
Lim Jae Hyun,If there was practice in love,K-Pop,255.882,USA
Lim Young Woong,Lovely Touch,K-Pop,195.173,USA
SZA,Snooze,R&B/Soul,201.8,USA
HYUKOH,TOMBOY,Rock,241.692,USA
Lim Young Woong,Love Letter,K-Pop,215.04,USA
The Weeknd,Die For You,R&B/Soul,260.256,USA
BOYNEXTDOOR,"Earth, Wind & Fire",R&B/Soul,214.867,USA
"Jin, Taka",Falling (feat. Taka),J-Pop,178.832,USA
george,Boat,K-Pop,191.995,USA
"HOZIHO, Choi Sung Ho",Don't Cry,Korean,234.893,USA
Yuuri,ベテルギウス,Rock,230.394,USA
BIGBANG,BAE BAE,K-Pop,169.43,USA
